features	standard deviation
174.2	fBodyGyro-bandsEnergy()-57,64	0.0918926059360425
162.2	fBodyGyro-bandsEnergy()-1,16	0.187208471302937
165.2	fBodyGyro-bandsEnergy()-17,32	0.157757259712502
170.2	fBodyGyro-bandsEnergy()-33,48	0.0680138359500029
173.2	fBodyGyro-bandsEnergy()-49,64	0.0959527531485071
163.2	fBodyGyro-bandsEnergy()-1,24	0.195166585668695
168.2	fBodyGyro-bandsEnergy()-25,48	0.0713996032717027
95	fBodyAccMag-mean()	0.445326568748138
100	fBodyAccMag-std()	0.355428822604272
92	fBodyAccMag-mad()	0.429161383203731
93	fBodyAccMag-max()	0.257907110952222
97	fBodyAccMag-min()	0.160813833426753
99	fBodyAccMag-sma()	0.445326568748138
88	fBodyAccMag-energy()	0.246763954352198
90	fBodyAccMag-iqr()	0.344473569657737
89	fBodyAccMag-entropy()	0.67820382282618
94	fBodyAccMag-maxInds	0.262741804406168
96	fBodyAccMag-meanFreq()	0.262958087372081
98	fBodyAccMag-skewness()	0.322068009420536
91	fBodyAccMag-kurtosis()	0.319530515617404
130	fBodyBodyAccJerkMag-mean()	0.425064058475465
135	fBodyBodyAccJerkMag-std()	0.406022019765095
127	fBodyBodyAccJerkMag-mad()	0.431194579092873
128	fBodyBodyAccJerkMag-max()	0.369694160361654
132	fBodyBodyAccJerkMag-min()	0.269887904484327
134	fBodyBodyAccJerkMag-sma()	0.425064058475465
123	fBodyBodyAccJerkMag-energy()	0.227999948372342
125	fBodyBodyAccJerkMag-iqr()	0.365550207428341
124	fBodyBodyAccJerkMag-entropy()	0.666857199977994
129	fBodyBodyAccJerkMag-maxInds	0.189654957159251
131	fBodyBodyAccJerkMag-meanFreq()	0.252536980465226
133	fBodyBodyAccJerkMag-skewness()	0.364723427136742
126	fBodyBodyAccJerkMag-kurtosis()	0.353928104837512
156	fBodyBodyGyroMag-mean()	0.323701247447165
161	fBodyBodyGyroMag-std()	0.310443110261479
153	fBodyBodyGyroMag-mad()	0.331222375143902
154	fBodyBodyGyroMag-max()	0.281107013388215
158	fBodyBodyGyroMag-min()	0.163586790814714
160	fBodyBodyGyroMag-sma()	0.323701247447165
149	fBodyBodyGyroMag-energy()	0.180431526451115
151	fBodyBodyGyroMag-iqr()	0.310562394909098
150	fBodyBodyGyroMag-entropy()	0.602929506652608
155	fBodyBodyGyroMag-maxInds	0.159981310369657
157	fBodyBodyGyroMag-meanFreq()	0.280141787984183
159	fBodyBodyGyroMag-skewness()	0.322579317864976
152	fBodyBodyGyroMag-kurtosis()	0.320005962923996
143	fBodyBodyGyroJerkMag-mean()	0.267591646696675
148	fBodyBodyGyroJerkMag-std()	0.25916005947039
140	fBodyBodyGyroJerkMag-mad()	0.279727316157446
141	fBodyBodyGyroJerkMag-max()	0.242697445781885
145	fBodyBodyGyroJerkMag-min()	0.189626578686087
147	fBodyBodyGyroJerkMag-sma()	0.267591646696675
136	fBodyBodyGyroJerkMag-energy()	0.128284289844076
138	fBodyBodyGyroJerkMag-iqr()	0.278403167001024
137	fBodyBodyGyroJerkMag-entropy()	0.624272170556896
142	fBodyBodyGyroJerkMag-maxInds	0.139691029760894
144	fBodyBodyGyroJerkMag-meanFreq()	0.245443027441107
146	fBodyBodyGyroJerkMag-skewness()	0.320198712888229
139	fBodyBodyGyroJerkMag-kurtosis()	0.308795514927429
2	angle(tBodyAccMean,gravity)	0.336591046179278
1	angle(tBodyAccJerkMean),gravityMean)	0.44736375602737
4	angle(tBodyGyroMean,gravityMean)	0.616188498331737
3	angle(tBodyGyroJerkMean,gravityMean)	0.48476983995559
5	angle(X,gravityMean)	0.511157750223321
6	angle(Y,gravityMean)	0.305467964061558
7	angle(Z,gravityMean)	0.26889816410019
